id,name,description,rarity,type,damage,defense,range,category,durability,potency,duration
1,Epée émoussée,Une épée émoussée mais encore utilisable,common,weapon,5,0,1.0,melee,90,0,0
2,Hache de guerre,Une hache lourde capable d'infliger de gros dégâts,common,weapon,12,0,1.0,melee,80,0,0
3,Arc de chasseur de champignon,Un arc léger et précis pour attaquer à distance,rare,weapon,8,0,5.0,distance,70,0,0
4,Gros bâton magique,Un bâton imprégné de pouvoir magique,epic,weapon,15,0,4.0,magic,60,0,0
5,Dague empoisonnée des ténèbres,Une petite lame recouverte de poison,rare,weapon,7,0,1.5,melee,85,10,3
6,Bouclier en bois de boulot,Un bouclier simple mais utile contre les coups,common,weapon,0,5,0.0,shield,100,0,0
7,Potion de soin,Redonne progressivement des points de vie,common,potion,0,0,0.0,health,0,50,5
8,Potion de force,Augmente temporairement les dégâts physiques,common,potion,0,0,0.0,strengh,0,20,10
9,Potion de vitesse,Augmente la vitesse de déplacement pendant un court instant,common,potion,0,0,0.0,speed,0,15,8
10,Épée du roi Louis XIV,Une épée légendaire forgée pour un roi oublié,legendary,weapon,25,5,1.0,melee,120,0,0
11,Arc du phénix flamboyant,Un arc légendaire tirant des flèches enflammées,legendary,weapon,20,0,6.0,distance,100,0,0
12,Bouclier divin de Zeus,Un bouclier sacré qui bloque toute attaque,legendary,weapon,0,25,0.0,shield,150,0,0
13,Lance pierre douteux,Un lance pierre spécialisé en petits cailloux,common,weapon,6,0,2.0,melee,75,0,0
14,Bâton de bois cassé,Un bâton en bois usé par le temps,common,weapon,4,0,3.0,melee,50,0,0
15,Lanceur de bombes,Un dispositif pour lancer des bombes à distance,rare,weapon,18,0,4.0,distance,65,0,0
16,Petite gaterie,Un petit objet sucré pour remonter le moral,common,potion,0,0,0.0,health,0,10,0
17,Faucheur de coton,Une faux légère utilisée pour récolter le coton,rare,weapon,10,0,1.0,melee,85,0,0
